Number	Standard_concentration	Sample	Amount_ugperL_fucose	Amount_ugperL_rhamnose	Amount_ugperL_galactosamine	Amount_ugperL_arabinose	Amount_ugperL_glucosamine	Amount_ugperL_galactose	Amount_ugperL_glucose	Amount_ugperL_mannose	Amount_ugperL_xylose	Amount_ugperL_gluconicacid	Amount_ugperL_muramicacid	Amount_ugperL_galacturonicacid	Amount_ugperL_glucuronicacid	Amount_ugperL_mannuronicacid	Amount_ugperL_iduronicacid
1	NA	Blank	0.000	0.000	0.000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0000
2	0.000100	Standard	0.000	4.924	6.460	0.0000	4.760	1.998	0.000	0.000	0.000	13.951	4.926	16.093	14.370	1.6307	0.0000
3	0.000200	Standard	8.345	13.759	12.022	7.3984	12.838	12.867	8.696	7.608	12.760	22.958	15.683	25.301	21.452	8.7095	20.2868
4	0.000400	Standard	27.665	24.901	24.903	21.5677	27.143	23.867	78.554	23.558	16.279	33.342	58.088	26.480	29.236	56.5995	24.6535
5	0.001000	Standard	113.465	91.945	68.177	85.3248	74.240	95.796	153.327	109.928	107.854	89.784	111.050	82.975	91.198	76.2987	54.1598
6	0.002000	Standard	246.316	199.122	141.372	173.5893	152.993	195.257	271.039	249.692	238.413	175.626	200.863	172.076	182.845	145.1621	118.5080
7	0.010000	Standard	1128.018	956.607	688.435	799.8865	739.874	919.153	1324.540	1124.235	1091.921	808.314	917.807	829.236	890.977	689.8072	565.3772
8	NA	Blank	0.000	0.000	0.000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.5928	0.0000
9	NA	Blank	0.000	0.000	0.000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0000
10	NA	Blank	0.000	0.000	0.000	0.0000	0.000	6.059	0.000	9.486	9.511	0.000	0.000	0.000	0.000	0.0000	0.0000
11	NA	Blank	0.000	0.000	0.000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0000
12	NA	Dialysis_blank	0.000	0.000	0.000	0.0000	0.000	18.927	598.771	0.000	2316.017	0.000	0.000	0.000	0.000	34.5375	0.0000
13	NA	maybe_extraction_blank_smalltube	2237.854	33.466	0.000	0.0000	48.088	4254.967	2197.325	0.000	6472.610	15.965	0.000	299.306	262.702	123.3080	0.0000
14	NA	maybe_extraction_blank	163.964	16.059	0.000	0.0000	10.434	87.098	305.942	386.336	342.483	19.614	0.000	37.105	18.743	30.4575	0.0000
15	NA	A-WC1E	29551.635	399.393	0.000	0.0000	627.198	4642.002	2206.286	0.000	5256.684	160.457	0.000	318.919	2239.052	175.0165	141.0071
16	NA	A-WC3E	32487.437	427.851	0.000	0.0000	810.410	5603.400	2304.121	0.000	5341.511	128.826	0.000	291.809	3285.950	227.7801	114.6738
17	NA	A-WC2E	24277.611	273.911	0.000	0.0000	391.069	6087.462	2007.345	0.000	3836.365	83.664	0.000	209.293	1674.519	157.9571	60.5620
18	0.000400	Standard	33.743	31.814	23.816	20.1488	27.898	32.510	49.282	35.971	35.347	27.721	34.153	41.541	42.427	25.7245	29.5187
19	NA	A-WC2I	1611.426	339.640	0.000	0.0000	309.883	1084.696	2405.057	0.000	6248.009	26.769	0.000	318.682	430.410	106.8331	0.0000
20	NA	A-WC1I	2574.078	246.697	0.000	0.0000	227.826	3664.674	1385.888	0.000	3093.346	31.532	0.000	291.777	335.836	80.5084	0.0000
21	NA	A-WC3I	2637.012	623.395	0.000	0.0000	515.907	1503.453	2477.156	0.000	5722.502	52.328	0.000	336.754	699.891	136.9597	0.0000
22	NA	A-WC4E	22092.352	445.598	0.000	0.0000	538.093	3891.001	3011.849	0.000	7325.919	112.766	0.000	278.396	2400.570	244.2030	0.0000
23	NA	A-WC6I	2576.599	330.291	0.000	0.0000	308.742	1647.365	2479.035	0.000	6686.361	32.843	0.000	551.965	442.344	104.7680	0.0000
24	NA	A-WC5I	1967.429	338.756	0.000	0.0000	162.330	2958.729	1117.797	0.000	2657.815	30.461	0.000	204.714	383.963	113.7139	0.0000
25	NA	A-WC5E	19285.227	338.804	0.000	0.0000	522.581	4283.345	2090.334	0.000	4414.301	91.940	0.000	325.030	2632.818	0.0000	65.8497
26	NA	Dialysis_blank	0.000	0.000	0.000	0.0000	0.000	21.283	609.185	0.000	2306.428	10.246	0.000	0.000	5.810	66.9005	0.0000
27	NA	Dialysis_blank	0.000	0.000	0.000	0.0000	0.000	15.377	759.908	0.000	2022.834	11.516	0.000	0.000	0.000	54.8860	0.0000
28	NA	Dialysis_blank	0.000	0.000	0.000	0.0000	0.000	19.296	757.491	0.000	2297.216	7.943	0.000	0.000	0.000	85.2487	0.0000
29	0.000400	Standard	34.142	31.450	24.664	22.6192	28.794	29.706	46.219	31.777	39.222	33.668	38.112	37.936	39.896	18.3601	25.2472
30	NA	S-WC10E	597.224	141.376	0.000	0.0000	59.301	579.237	667.157	0.000	2021.251	16.362	0.000	157.205	96.516	27.8552	0.0000
