No. 	Standard_concentration	Sample	Injection_Name	Amount	Amount	Amount	Amount 	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount	Amount 	Amount 	Area 	Area 	Area	Area 	Area 	Area 	Area 	Area 	Area 	Area 	Area 	Area 	Area 	Area 	Area 
				ug/L	ug/L	ug/L	ug/L	ug/L	ug/L	ug/L	ug/L	ug/L	ug/L	ug/L	ug/L	ug/L	ug/L	ug/L	nC*min	nC*min	nC*min	nC*min	nC*min	nC*min	nC*min	nC*min	nC*min	nC*min	nC*min	nC*min	nC*min	nC*min	nC*min
				ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1_Total	ED_1	ED_1_Total
				Fucose	Rhamnose	Galactosamine	Arabinose	Glucosamine	Galactose	Glucose	Mannose	Xylose	Gluconic acid	Muramic acid	Galacturonic acid	Glucuronic acid	Mannuronic acid	Iduronic acid	Fucose	Rhamnose	Galactosamine	Arabinose	Glucosamine	Galactose	Glucose	Mannose	Xylose	Gluconic acid	Muramic acid	Galacturonic acid	Glucuronic acid	Mannuronic acid	Iduronic acid
1	NA	Blank	MQ	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
2	NA	Blank	MQ	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3	NA	Blank	MQ	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4	NA	Blank	MQ	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	200.213	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.037	n.a.	n.a.	0.042	n.a.	n.a.	n.a.	n.a.	n.a.
5	0.000100	Standard	1:10.000 Std. Mix in HCl	n.a.	8.231	3.492	n.a.	2.587	n.a.	n.a.	n.a.	n.a.	27.718	5.905	10.967	4.521	12.0520	n.a.	0.023	0.023	0.049	0.039	0.044	0.034	0.109	0.033	0.032	0.007	0.004	0.004	0.005	n.a.	n.a.
6	0.000200	Standard	1:5.000 Std. Mix in HCl	10.591	22.661	9.431	0.0740	10.865	9.396	n.a.	17.990	15.633	36.858	27.118	21.826	24.358	14.0570	n.a.	0.048	0.041	0.073	0.050	0.076	0.074	0.145	0.059	0.059	0.009	0.012	0.009	0.011	n.a.	0.005
7	0.000400	Standard	1:2500 Std. Mix in HCl	60.423	49.442	30.168	58.4257	34.072	40.077	214.833	57.608	51.852	52.540	58.818	52.822	54.868	30.8089	n.a.	0.097	0.076	0.159	0.125	0.165	0.134	0.532	0.105	0.116	0.012	0.023	0.021	0.022	0.008	0.009
8	0.001000	Standard	1:1000 Std. Mix in HCl	213.555	131.831	88.875	139.7583	94.606	142.300	177.600	187.507	178.702	126.426	178.965	143.468	173.152	90.8730	48.1003	0.251	0.184	0.402	0.228	0.398	0.334	0.466	0.257	0.315	0.027	0.064	0.057	0.062	0.026	0.029
9	0.002000	Standard	1:500 Std. Mix in HCl	419.863	386.413	213.522	333.4283	218.020	310.166	411.786	397.625	374.786	272.323	371.592	293.563	361.431	190.8982	132.0535	0.457	0.516	0.918	0.475	0.873	0.663	0.880	0.502	0.624	0.057	0.131	0.117	0.126	0.055	0.070
10	0.010000	Standard	1:100 Std. Mix in HCl	1774.528	1673.281	945.805	1259.8328	987.653	1320.702	1964.578	1735.556	1639.323	1485.192	1845.555	1476.676	1787.423	1048.2369	952.8878	1.813	2.196	3.948	1.655	3.835	2.641	3.627	2.066	2.615	0.307	0.642	0.586	0.609	0.297	0.469
11	NA	A-WC6E	14b	726.484	4.768	n.a.	n.a.	n.a.	53.341	n.a.	n.a.	24.325	16.016	n.a.	n.a.	17.606	n.a.	n.a.	0.764	0.018	0.018	0.009	0.023	0.160	0.060	0.034	0.072	0.005	n.a.	n.a.	0.009	n.a.	n.a.
12	NA	A-WC1I	5b	2730.948	37.921	10.414	n.a.	16.898	246.459	18.398	25.162	175.345	19.691	n.a.	9.824	134.759	n.a.	n.a.	2.771	0.061	0.077	0.023	0.099	0.538	0.185	0.067	0.310	0.005	n.a.	0.004	0.049	n.a.	n.a.
13	NA	S-WC1E	22c	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.137	17.422	n.a.	n.a.	n.a.	n.a.	n.a.	0.036	0.001	0.003	n.a.	0.004	0.032	0.063	0.031	0.034	0.005	n.a.	n.a.	n.a.	n.a.	n.a.
14	NA	A-WC1I	5a	2919.118	38.863	12.823	n.a.	20.809	290.938	23.023	42.345	198.815	14.762	n.a.	11.711	128.983	n.a.	n.a.	2.959	0.063	0.087	0.027	0.114	0.625	0.193	0.087	0.347	0.004	n.a.	0.005	0.047	n.a.	n.a.
15	NA	S-WC3I	27b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	10.662	n.a.	n.a.	n.a.	n.a.	n.a.	0.012	n.a.	n.a.	n.a.	n.a.	0.006	0.032	0.009	0.012	0.004	n.a.	n.a.	n.a.	n.a.	n.a.
16	NA	S-WC5E	30b	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	7.240	12.965	n.a.	n.a.	n.a.	n.a.	n.a.	0.024	n.a.	n.a.	n.a.	n.a.	0.021	0.095	0.026	0.046	0.004	n.a.	n.a.	n.a.	n.a.	n.a.
17	NA	A-WC6I	15c	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	12.376	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.004	n.a.	n.a.	n.a.	n.a.	n.a.
18	NA	S-WC8I	36b	75.343	6.600	n.a.	n.a.	n.a.	47.291	n.a.	15.652	24.265	12.034	n.a.	11.600	0.881	n.a.	n.a.	0.112	0.021	0.025	0.013	0.034	0.148	0.104	0.056	0.072	0.004	n.a.	0.005	0.003	n.a.	n.a.
19	NA	A-WC2E	6a	2042.695	13.071	0.800	n.a.	7.015	325.294	n.a.	11.652	102.919	11.640	n.a.	10.121	70.691	n.a.	n.a.	2.082	0.029	0.038	0.008	0.061	0.693	0.131	0.051	0.196	0.004	n.a.	0.004	0.027	n.a.	n.a.
20	NA	A-WC1E	4a	2467.060	25.072	4.660	n.a.	14.120	195.275	0.486	21.459	122.910	12.967	n.a.	12.105	98.247	n.a.	n.a.	2.507	0.045	0.054	0.012	0.088	0.438	0.153	0.063	0.228	0.004	n.a.	0.005	0.036	n.a.	n.a.
21	0.0001	Standard	1:10.000 Std. Mix in HCl	n.a.	4.896	1.845	n.a.	2.645	n.a.	n.a.	n.a.	n.a.	14.119	9.008	12.322	2.192	4.9483	n.a.	0.020	0.018	0.042	0.030	0.044	0.031	0.097	0.033	0.034	0.004	0.006	0.005	0.004	n.a.	n.a.
22	NA	Extraction_standard_low	46b	51.626	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	11.497	n.a.	9.434	n.a.	n.a.	n.a.	0.089	n.a.	n.a.	n.a.	n.a.	0.025	0.105	0.029	0.022	0.004	n.a.	0.004	n.a.	n.a.	n.a.
