nr	Standard_concentration	Sample	Fucose	Rhamnose	Galactosamine	Arabinose	Glucosamine	Galactose	Glucose	Mannose	Xylose	Gluconic_acid	Muramic_acid	Galacturonic_acid	Glucuronic_acid	Mannuronic_acid	Iduronic_acid
1	NA	Blank	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
2	NA	Blank	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3	NA	Blank	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4	NA	Blank	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	200.213	n.a.	n.a.	n.a.	n.a.	n.a.
5	0.000100	Standard	n.a.	8.231	3.492	n.a.	2.587	n.a.	n.a.	n.a.	n.a.	27.718	5.905	10.967	4.521	12.0520	n.a.
6	0.000200	Standard	10.591	22.661	9.431	0.0740	10.865	9.396	n.a.	17.990	15.633	36.858	27.118	21.826	24.358	14.0570	n.a.
7	0.000400	Standard	60.423	49.442	30.168	58.4257	34.072	40.077	214.833	57.608	51.852	52.540	58.818	52.822	54.868	30.8089	n.a.
8	0.001000	Standard	213.555	131.831	88.875	139.7583	94.606	142.300	177.600	187.507	178.702	126.426	178.965	143.468	173.152	90.8730	48.1003
9	0.002000	Standard	419.863	386.413	213.522	333.4283	218.020	310.166	411.786	397.625	374.786	272.323	371.592	293.563	361.431	190.8982	132.0535
10	0.010000	Standard	1774.528	1673.281	945.805	1259.8328	987.653	1320.702	1964.578	1735.556	1639.323	1485.192	1845.555	1476.676	1787.423	1048.2369	952.8878
11	NA	A-WC6E	726.484	4.768	n.a.	n.a.	n.a.	53.341	n.a.	n.a.	24.325	16.016	n.a.	n.a.	17.606	n.a.	n.a.
12	NA	A-WC1I	2730.948	37.921	10.414	n.a.	16.898	246.459	18.398	25.162	175.345	19.691	n.a.	9.824	134.759	n.a.	n.a.
13	NA	S-WC1E	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	0.137	17.422	n.a.	n.a.	n.a.	n.a.	n.a.
14	NA	A-WC1I	2919.118	38.863	12.823	n.a.	20.809	290.938	23.023	42.345	198.815	14.762	n.a.	11.711	128.983	n.a.	n.a.
15	NA	S-WC3I	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	10.662	n.a.	n.a.	n.a.	n.a.	n.a.
16	NA	S-WC5E	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	7.240	12.965	n.a.	n.a.	n.a.	n.a.	n.a.
17	NA	A-WC6I	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	12.376	n.a.	n.a.	n.a.	n.a.	n.a.
18	NA	S-WC8I	75.343	6.600	n.a.	n.a.	n.a.	47.291	n.a.	15.652	24.265	12.034	n.a.	11.600	0.881	n.a.	n.a.
19	NA	A-WC2E	2042.695	13.071	0.800	n.a.	7.015	325.294	n.a.	11.652	102.919	11.640	n.a.	10.121	70.691	n.a.	n.a.
20	NA	A-WC1E	2467.060	25.072	4.660	n.a.	14.120	195.275	0.486	21.459	122.910	12.967	n.a.	12.105	98.247	n.a.	n.a.
21	0.0001	Standard	n.a.	4.896	1.845	n.a.	2.645	n.a.	n.a.	n.a.	n.a.	14.119	9.008	12.322	2.192	4.9483	n.a.
22	NA	Extraction_standard_low	51.626	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	11.497	n.a.	9.434	n.a.	n.a.	n.a.
23	NA	S-WC8I	59.821	7.892	n.a.	n.a.	n.a.	30.365	n.a.	1.180	17.723	9.768	n.a.	8.018	1.654	n.a.	n.a.
24	NA	S-WC10E	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	9.854	n.a.	n.a.	n.a.	n.a.	n.a.
25	NA	A-WC2E	2128.439	16.672	1.059	n.a.	9.737	338.617	n.a.	16.807	102.645	11.635	n.a.	11.441	76.306	n.a.	n.a.
26	NA	S-WC2I	94.430	1.571	n.a.	n.a.	n.a.	74.112	n.a.	n.a.	8.797	11.061	n.a.	8.312	n.a.	n.a.	n.a.
27	NA	S-WC3E	1330.829	n.a.	n.a.	n.a.	n.a.	1370.422	n.a.	n.a.	40.540	13.308	n.a.	7.480	14.586	n.a.	n.a.
28	NA	S-WC1E	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	10.044	n.a.	3.618	n.a.	n.a.	n.a.
29	NA	S-WC11E	108.999	n.a.	n.a.	n.a.	n.a.	186.020	n.a.	9.302	12.471	9.180	n.a.	7.844	n.a.	n.a.	n.a.
